,feature_name,marker_definition,parent_population,betas,p_1
2221,P1:546,27+28-31+57-95+127+244-RA+,CD8,-0.0,0.093057
2222,P1:9422,27-28+31-95-127-244-,CD8,0.0,0.249504
2223,P1:13611,31+95+127+244+RA+,CD8,-0.0,0.642304
2224,P1:8994,27+31-57+95-244+RA-,CD8,-0.0,0.552317
2225,P2:6382,25+127+RO+,CD4,0.0,0.841195
2226,P2:25353,38+73-127-DR+RO+,DPT,-0.0,0.15589
2227,P1:566,27+28+31+57+95-127+244-RA-,DPT,0.0,0.553437
2228,P1:13420,27+31+57+95+244+RA+,CD8,-0.0,0.359533
2229,P5 CD8:147,RA+,CD8,0.0,0.0870901
2230,P1:13149,27+95+127-244+RA+,CD8,-0.0,0.167979
2231,P3:6564,161+PD1-R4+R6-XR3+XR5+,CD8/Memory,0.0,0.325607
2232,P3:3934,R4+R10+XR3+,CD4/Naive,0.0,0.115403
2233,P5 CD8:64,27-R7-,CD8,-0.0,0.272307
2234,P2:4118,25+38+39-73+127-,CD4,0.0,0.829027
2235,P2:24640,38-39-73-127-DR+PD1-RO+,DPT,0.0,0.103327
2236,P1:6538,27+28+31-127+RA+,CD4,-0.0,0.521014
2237,P1:313,27+28-31+57-95-127-244+RA+,DPT,0.0,0.270654
2238,P1:12336,27+57-127-RA+,CD8,-0.0,0.122434
2239,P1:20873,28+31+57-95-RA-,DPT,0.0,0.521374
2240,P1:21756,31+95+244+RA-,DPT,0.0,0.258409
2241,P3:85,161+PD1-R4+R6-R10-XR3+XR5-,CD8/Memory,0.0,0.068706
2242,P2:640,25-38-39+73+127-DR+PD1-RO+,CD4,0.0,0.165888
2243,P1:22079,27+28+31+57+95-127-244-,DPT,0.0,0.435909
2244,P3:2260,PD1+R4-R6+XR5+,CD4/Memory,0.0,0.324721
2245,P5 gd:2050,8+27+28-RA-R7+,Vg9+/Vd2Low,0.0,0.403932
2246,P3:5453,R4+R6+XR3-,CD8/Memory,-0.0,0.541831
2247,P2:26139,DR+PD1+RO+,DPT,-0.0,0.0933083
2248,P7:121,274-,14-/11c+ (nodim)/1c+,0.0,0.442397
2249,P2:23146,73-127+,DPT,-0.0,0.207826
2250,P1:12268,27-28-31-95-127-RA+,CD8,-0.0,0.148182
2251,P2:9144,25+38-39+127+PD1+RO-,CD8,-0.0,0.718604
2252,P2:271,25-38+39+73-127+DR+PD1+RO+,DPT,-0.0,0.314208
2253,P1:11557,27+28+31-57+95+127+244+,CD8,0.0,0.680572
2254,P7 Mono:2236,11c-64+141+274+DR-,Monocytes,0.0,0.801597
2255,P2:22908,25-38-39+73-127+DR-,DPT,-0.0,0.20166
2256,P2:8287,39+127-RO-,CD8,-0.0,0.0857964
2257,P2:21199,25-38-39-DR+RO-,DPT,0.0,0.428183
2258,P1:2871,28+31+57+95+244+RA-,CD4,-0.0,0.217368
2259,P2:23530,38-39+73+127-DR-PD1+,DPT,0.0,0.999055
2260,P4:5293,CD2+314+158b-,56+16-,0.0,0.637335
2261,P6 earlyB:242,24+5+38+D+,IgA-IgG-,0.0,0.0410398
2262,P3:5538,161+PD1+R4+R6+R10+XR3-,CD8/Memory,0.0,0.62341
2263,P2:8156,25+38+39+73+DR-RO-,CD8,-0.0,0.65902
2264,P4:567,CD2+314+158a+158b-R7-,16+56-,-0.0,0.288179
2265,P2:22712,25+38-73+127+DR+PD1-,DPT,0.0,0.742206
2266,P1:25458,127+RA+,DPT,0.0,0.461085
2267,P1:23103,27-28+31+,DPT,0.0,0.753601
2268,P7 Mono:64,11c+16-32-64-123-141-274+DR-,Monocytes,-0.0,0.3624
2269,P1:9870,31+57+95+244-,CD8,-0.0,0.037936
2270,P2:25446,38-39-DR+RO+,DPT,0.0,0.678304
2271,P2:23195,25+38+39-73+127+,DPT,-0.0,0.769576
2272,P3:6621,161+R4+R6+XR3+XR5+,CD8/Memory,0.0,0.119098
2273,P2:25322,25-73+127+RO+,DPT,0.0,0.725998
2274,P6:280,24-27-,B cells/CD10-/CD95+/IgG+,-0.0,0.991376
2275,P1:784,27-28+31+57+95+127+244-RA+,CD8,-0.0,0.842495
2276,P2:24054,25-39-DR+PD1+,DPT,-0.0,0.495795
2277,P1:11674,27-28+31-127-244-RA+,CD8,0.0,0.731279
2278,P6 earlyB:212,24+D+,IgA-IgG-,0.0,0.0251948
2279,P7 Mono:848,11c-16-32+64+141+274-DR-,Monocytes,-0.0,0.658277
2280,P7 Mono:5693,11c-123-141+DR+,Monocytes,-0.0,0.682534
2281,P2:12088,38+73+127-DR+PD1-RO+,CD8,-0.0,0.8546
2282,P5 gd:875,8+28+RA-R5-R7-,Vg9+/Vd2Hi,-0.0,0.459308
2283,P2:235,25-38+39-73+127-DR-PD1+RO-,DPT,0.0,0.85511
2284,P1:24617,31-57+95+244-RA+,DPT,-0.0,0.858253
2285,P2:21060,25+39+127+RO-,DPT,-0.0,0.663547
2286,P5 gd:8,8-27-28-RA+R5-R7-,Vg9+/Vd2Low,-0.0,0.73824
2287,P7 Mono:6557,16-32+64+123+141+274+DR+,Monocytes,-0.0,0.184947
2288,P2:8422,39+73-127+RO-,CD8,-0.0,0.0512735
2289,P2:2836,25+38+127+PD1+RO-,CD4,-0.0,0.120886
2290,P3:1869,PD1+R10+XR3+,CD4/Memory,0.0,0.595413
2291,P2:9753,PD1-,CD8,0.0,0.527923
2292,P7:6,32-64-274-,mDC/1c-/16-,-0.0,0.695047
2293,P3:2355,161-R4+R6+R10+XR5+,CD4/Memory,0.0,0.552439
2294,P2:534,25+38+39+73+127+DR+PD1+RO-,DPT,-0.0,0.140722
2295,P1:20505,28-31+127+244-RA-,DPT,0.0,0.26331
2296,P3:8344,R4+R10-XR5+,CD8/Naive,-0.0,0.103783
2297,P1:2868,31+57+95+244+RA-,CD4,-0.0,0.876742
2298,P4:40,2-314+334-337-158a-158b+R7-,16+56,-0.0,0.537987
2299,P1:24151,28-31+95+127+244+,DPT,0.0,0.480506
2300,P3:7677,PD1+R4+R6+R10-,CD8/Naive,-0.0,0.0792413
2301,P7 Mono:4873,11c-16+32+64+274-DR+,Monocytes,-0.0,0.933431
2302,P1:692,27-28-31+57+95-127+244+RA-,DPT,0.0,0.839251
2303,P2:652,25+38-39+73-127+DR-PD1+RO+,CD8,0.0,0.847444
2304,P2:7309,38+39+127+DR+PD1+RO+,CD4,0.0,0.907524
2305,P7 Mono:1504,11c-16+64-141+DR-,Monocytes,0.0,0.985709
2306,P6:245,24+27-38+,B cells/CD10-/CD95+/IgA,0.0,0.212449
2307,P4:2013,CD2+334+337-158a-R7+,16+56-,0.0,0.169001
2308,P3:3920,161+PD1+R4-R10+XR3+,CD4/Naive,-0.0,0.0622412
2309,P7 Mono:4371,11c-32-141+274+,Monocytes,0.0,0.251851
2310,MFI:473,CD16 BV421,Lymphs/nonT/NK/16+56/CD158b,0.0,0.294917
2311,P7 Mono:1453,11c-16-32+123-141+DR-,Monocytes,-0.0,0.865555
2312,P4:950,314-334+158b+R7-,16+56-,-0.0,0.116799
2313,P1:21342,27-57-95-127-244+RA-,DPT,-0.0,0.970857
2314,P2:20585,25+38+39+127+DR+PD1-RO-,DPT,0.0,0.265004
2315,P1:9211,27+95-127+244+RA-,CD8,-0.0,0.865824
2316,P2:25994,25+127+PD1+RO+,DPT,0.0,0.431799
2317,P5 gd:2179,8+RA+R5+R7+,Vg9+/Vd2Low,0.0,0.138399
2318,P1:21721,27+57-95+244+RA-,DPT,0.0,0.793962
2319,P2:2301,25+38+DR+RO-,CD4,-0.0,0.0769072
2320,P2:21248,39+73+DR+RO-,DPT,0.0,0.743675
2321,P5 gd:1252,8-28+RA-R5+,Vg9+/Vd2Hi,0.0,0.57892
2322,P3:6086,161-R4+R6+R10-XR3-XR5+,CD8/Memory,-0.0,0.49293
2323,P1:21998,28+31+57+95+127+244+RA-,DPT,-0.0,0.252837
2324,P5 gd:34,8+27-28-RA-R5+R7-,Vg9+/Vd2Low,0.0,0.475914
2325,P1:23642,27+31+57-95+127-244+,DPT,-0.0,0.834305
2326,P1:2221,27-28-31+95-127+RA-,CD4,0.0,0.419654
2327,P2:307,25-38+39-73-127-DR+PD1+RO+,CD8,-0.0,0.763552
2328,P1:4547,27+31-57-95-127-244+,CD4,0.0,0.572752
2329,P7:48,32+64-274+,mDC/1c-/16-,0.0,0.842236
2330,P2:24060,25-38-DR+PD1+,DPT,-0.0,0.868777
2331,P1:22039,95-127-244-,DPT,-0.0,0.629854
2332,P1:53,27+28-31+57-95+127-244+RA-,DPT,0.0,0.145436
2333,P2:22477,38-39+73+127+PD1-,DPT,-0.0,0.0581884
2334,P3:4666,PD1+R10-XR3-XR5-,CD8/Memory,-0.0,0.296718
2335,P2:24957,38+39+73-DR-RO+,DPT,-0.0,0.0190668
2336,P1:23447,27+28+57+95+127+,DPT,-0.0,0.128693
2337,P1:24080,27+28-31-57+127+244+,DPT,-0.0,0.434699
2338,P3:6163,PD1-R4+R6+XR3-XR5+,CD8/Memory,-0.0,0.237748
2339,P2:25308,38+39+127+RO+,DPT,-0.0,0.72307
2340,P1:26073,27+28-31+95-127+244+RA+,DPT,0.0,0.659368
2341,P4:3956,CD2+314+334+158b-R7+,16+56,0.0,0.170829
2342,P1:5440,31-95+127-244-RA+,CD4,-0.0,0.202673
2343,P1:516,27+28+31-57+95-127-244-RA-,DPT,0.0,0.748097
2344,P2:341,25-38+39-73+127+DR+PD1-RO-,DPT,-0.0,0.745998
2345,P3:5913,161+R4+XR3+,CD8/Memory,0.0,0.0664643
2346,P2:26079,25+38+39+127-DR+PD1+RO+,DPT,0.0,0.506099
2347,P2:671,25+38+39-73-127-DR-PD1-RO-,CD4,-0.0,0.32469
2348,P2:23291,25+39+73+127-DR+,DPT,-0.0,0.53545
2349,P3:30,161-PD1-R4-R6-R10-XR3-XR5+,CD4/Memory,-0.0,0.68578
2350,P5 NKT:57,27+28-RA+R7+,4-8-,0.0,0.540175
2351,P1:20658,27+28+31+95-127-RA-,DPT,-0.0,0.779443
2352,P3:603,PD1+R4+R6-XR3-XR5-,CD4/Memory,0.0,0.155692
2353,P2:858,25-38+39-73+127-DR-PD1+RO-,CD4,0.0,0.235227
2354,P4:799,CD2+158a+R7-,16+56-,-0.0,0.0510447
2355,P2:24494,38+73-PD1-RO+,DPT,-0.0,0.00690048
2356,P1:946,27+28-31-57+95+127-244-RA+,CD4,-0.0,0.322451
2357,P1:1303,57+95-244-RA-,CD4,0.0,0.571132
2358,P5 gd:1485,8+27+28-R5+R7+,Vg9+/Vd2Hi,0.0,0.815459
2359,P4:6529,158a+158b+R7+,56+16-,0.0,0.168326
2360,P4:4253,CD2-314+158a+R7+,16+56,0.0,0.707272
2361,P6 earlyB:125,24-27-5-,IgA-IgG-,-0.0,0.168317
2362,P2:13472,39-73+127-DR+PD1+RO+,CD8,0.0,0.658571
2363,P3:4625,161+PD1+R6+R10+XR3+XR5+,CD4/Naive,0.0,0.563549
2364,P2:11164,25+38-39+73+127-PD1+,CD8,-0.0,0.635098
2365,P3:5529,161+PD1+R6+R10+XR3-,CD8/Memory,0.0,0.868566
2366,P2:725,25-38-39+73+127-DR+PD1-RO-,CD4,-0.0,0.375542
2367,P1:22707,27-28+31-57+95+127+244-,DPT,0.0,0.877416
2368,P1:7964,27-28+95+127+244-RA-,CD8,-0.0,0.499993
2369,P2:25170,39+73+127-RO+,DPT,-0.0,0.356577
2370,P6:318,24+38+,B cells/CD10-/CD95+/IgG+,0.0,0.269149
2371,P2:23107,38-39-73+,DPT,0.0,0.406256
2372,P1:10197,28+31+57+95-127-,CD8,-0.0,0.745968
2373,P1:8552,27+28+57+95-127+RA-,CD8,0.0,0.56581
2374,P2:24433,25-38-127-PD1-RO+,DPT,0.0,0.682042
2375,P4:5540,CD2-334+,56+16-,-0.0,0.400872
2376,P1:25720,27-31+57+127-244+RA+,DPT,0.0,0.800346
2377,P2:26241,25-39+73+127+DR+PD1+RO+,DPT,-0.0,0.0207734
2378,P2:22521,25-38-127-DR+PD1-,DPT,0.0,0.143648
2379,P3:4606,161-R4+R10+XR3+XR5+,CD4/Naive,0.0,0.095183
2380,P2:26160,38+39-73+DR+PD1+RO+,DPT,-0.0,0.293153
2381,P1:12846,27+28-127+RA+,CD8,0.0,0.146564
2382,P2:13305,38+PD1+RO+,CD8,-0.0,0.212168
2383,P3:6600,161+PD1-R4-R6+XR3+XR5+,CD8/Memory,0.0,0.62341
2384,P2:2292,25+38+39-DR+RO-,CD4,-0.0,0.073502
2385,P3:4490,161+R4-R6-XR3+XR5+,CD4/Naive,0.0,0.693613
2386,P2:9793,25+38+39+73+PD1-,CD8,0.0,0.683377
2387,P1:21612,57+95-244+RA-,DPT,0.0,0.332618
2388,P4:65,2-314+334+337-158a-158b-R7+,56+16-,0.0,0.119544
2389,P4:6469,CD2+314+334+158b+R7+,56+16-,0.0,0.377529
2390,P2:42,25+38-39+73+127+DR-PD1-RO-,DPT,0.0,0.970357
2391,P2:7292,25+38+39-127+DR+PD1+RO+,CD4,0.0,0.324893
2392,P1:874,27+28-31-57+95-127-244-RA+,CD4,-0.0,0.519089
2393,P1:24285,28+31-127-244-RA+,DPT,-0.0,0.27644
2394,P1:1255,28-31+57-95-244-RA-,CD4,-0.0,0.362993
2395,P1:5978,27-28+95-127-RA+,CD4,0.0,0.981702
2396,P4:3489,CD2+314-334-337+,16+56,-0.0,0.0285191
2397,P2:25456,25+38-DR+RO+,DPT,-0.0,0.106709
2398,P7 Mono:5535,16+DR+,Monocytes,-0.0,0.0240219
2399,P1:5230,95+127+244+,CD4,0.0,0.670992
2400,P2:26056,25-39-127-DR+PD1+RO+,DPT,-0.0,0.958708
2401,P3:6938,PD1-R10-XR5-,CD8/Naive,0.0,0.0491462
2402,P1:8169,27-57-95+127-RA-,CD8,0.0,0.969227
2403,P3:3919,PD1+R4-R10+XR3+,CD4/Naive,-0.0,0.227114
2404,P2:23992,39+127-DR+PD1+,DPT,-0.0,0.0588552
2405,P2:11326,25+38-39+73+127+PD1+,CD8,-0.0,0.456278
2406,P2:25162,25+73+127-RO+,DPT,-0.0,0.423104
2407,P3:4057,161+PD1+R4+R6-XR3-XR5+,CD4/Naive,-0.0,0.597921
2408,P2:21102,25+38-73-127-DR+RO-,DPT,-0.0,0.482992
2409,P2:24907,25+38-39-73+127-DR-RO+,DPT,-0.0,0.545882
2410,P2:21564,38-39+73-127-PD1+RO-,DPT,0.0,0.365435
2411,P3:420,161+PD1-R4-R6-R10+XR3-XR5+,CD4/Naive,-0.0,0.277928
2412,P1:24597,27+28-95+244-RA+,DPT,-0.0,0.0359606
2413,P6:290,20+24-,B cells/CD10-/CD95+/IgG+,-0.0,0.491792
2414,P1:346,27+28-31+57-95-127-244+RA-,DPT,0.0,0.624877
2415,P2:26119,25+38-39+73-DR+PD1+RO+,DPT,-0.0,0.876074
2416,P4:982,CD2-314+334+337+158b+R7-,16+56-,0.0,0.692591
2417,P1:24993,28+31-57+127-RA+,DPT,-0.0,0.421419
2418,P3:6620,R4+R6+XR3+XR5+,CD8/Memory,0.0,0.279064
2419,P2:975,25-38+39-73+127-DR+PD1+RO+,CD4,0.0,0.396813
2420,P3:98,161-PD1+R4+R6-R10-XR3+XR5+,CD4/Memory,0.0,0.197668
2421,P1:13488,28+31+57+95-127+244+RA+,CD8,0.0,0.189529
2422,P3:7826,161-R6+R10+,CD8/Naive,-0.0,0.2983
2423,P2:7,25-38-39-73-127+DR-PD1-RO-,CD4,-0.0,0.309403
2424,P2:13554,25+38-73+DR+PD1+RO+,CD8,0.0,0.798973
2425,P2:25301,25-38-39+127+RO+,DPT,-0.0,0.326238
2426,P1:993,27+28-31-57+95-127+244-RA-,CD8,-0.0,0.184839
2427,P3:5766,161+PD1-R6+R10+,CD8/Memory,0.0,0.225942
2428,P2:3000,25+38+39-73+DR+PD1+RO-,CD4,-0.0,0.279184
2429,P1:7143,27+31-95-127+244+RA+,CD4,0.0,0.738676
2430,P2:21251,38+39+73+DR+RO-,DPT,0.0,0.0934805
2431,P2:5006,25+39-73+127+PD1+,CD4,0.0,0.974836
2432,P1:10302,31+57-95+127-,CD8,-0.0,0.0640472
2433,P1:25735,57-95+127-244+RA+,DPT,-0.0,0.717642
2434,P2:23407,39-127+DR+,DPT,-0.0,0.0912275
2435,P1:8430,27-31-95+RA-,CD8,0.0,0.644319
2436,P2:9368,38+39+127+DR+PD1+RO-,CD8,-0.0,0.939961
2437,P2:3730,38+39+73+DR+PD1-,CD4,-0.0,0.541658
2438,P2:2788,25+39+73+PD1+RO-,CD4,-0.0,0.708013
2439,P1:4584,27-28+95-127-244+,CD4,-0.0,0.174295
2440,P3:8565,161+PD1+R4-R10-XR3+XR5+,CD8/Naive,0.0,0.444952
2441,P7 Mono:4979,11c-32-123-141+274-DR+,Monocytes,-0.0,0.384157
2442,P1:25469,27-28+31+127+RA+,DPT,0.0,0.175486
2443,P2:20517,39-73+DR+PD1-RO-,DPT,-0.0,0.301335
2444,P1:9375,27-28-57+95+127+244+RA-,CD8,0.0,0.493984
2445,P2:21045,25+38+39-127+RO-,DPT,-0.0,0.0988515
2446,P3:5686,161-R6+,CD8/Memory,-0.0,0.884932
2447,P2:25434,38+73-DR+RO+,DPT,-0.0,0.0463039
2448,P1:5985,31+95-127-RA+,CD4,-0.0,0.282864
2449,P1:24244,28+57+95-127-244-RA+,DPT,-0.0,0.426508
2450,P2:2207,39-127-DR+RO-,CD4,0.0,0.990697
2451,P7 Mono:5777,11c-16+141+DR+,Monocytes,0.0,0.522649
2452,P7 Mono:2098,11c+16-32+64+123+274+DR-,Monocytes,-0.0,0.259999
2453,P1:20657,28+31+95-127-RA-,DPT,0.0,0.991825
2454,P2:24103,38+39+73+DR+PD1+,DPT,-0.0,0.659563
2455,P2:23962,38-39+73-127-DR+PD1+,DPT,-0.0,0.237587
2456,P2:8785,25-39+73+127-DR-PD1+RO-,CD8,-0.0,0.000560829
2457,P4:4476,314-334+158a+158b+R7+,16+56,-0.0,0.684459
2458,P2:9038,39+73-PD1+RO-,CD8,-0.0,0.012217
2459,P2:23763,25-38-73+127-PD1+,DPT,0.0,0.427031
2460,P2:21969,38+127+DR+PD1+RO-,DPT,-0.0,0.262015
2461,P2:9603,38+39+127+DR-PD1-,CD8,-0.0,0.158134
2462,P5 gd:414,27-RA-R5-,CD3 T/VD1,0.0,0.618059
2463,P2:9982,25+38+39+73-DR+PD1-,CD8,-0.0,0.205001
2464,P2:11902,38+39-PD1-RO+,CD8,-0.0,0.0208741
2465,P2:703,25+38+39+73+127-DR-PD1-RO+,CD4,0.0,0.191305
2466,P7 Mono:897,11c-32+123+141+274-DR-,Monocytes,-0.0,0.402845
2467,P2:24015,25-38-39+73+127-DR+PD1+,DPT,-0.0,0.982345
2468,P2:21136,25-38-39+127-DR+RO-,DPT,0.0,0.140207
2469,P2:25820,25+38-39-127-PD1+RO+,DPT,0.0,0.205156
2470,P6 earlyB:138,*,IgA-IgG-,-0.0,0.939845
2471,P1:24215,28-95-127-244-RA+,DPT,0.0,0.93065
2472,P1:4147,28-57-,CD4,-0.0,0.411833
2473,P7 Mono:6362,11c-16+64-123-141+274+DR+,Monocytes,-0.0,0.869366
2474,P2:255,25+38+39+73+127-DR+PD1-RO+,DPT,0.0,0.622532
2475,P2:25470,38+39+DR+RO+,DPT,-0.0,0.147132
2476,P2:9789,39+73+PD1-,CD8,-0.0,0.523111
2477,MFI:535,CD3 H7 APC,Lymphs/T cells/CD4/RA,0.0,0.226381
2478,P7 Mono:6433,11c+16+64-141+274+DR+,Monocytes,0.0,0.918527
2479,P1:373,27+28-31-57-95+127+244+RA-,DPT,-0.0,0.875452
2480,P1:21755,27-31+95+244+RA-,DPT,0.0,0.0816124
2481,P2:743,25-38-39+73+127-DR-PD1-RO-,CD4,-0.0,0.334761
2482,P1:381,27+28+31+57-95-127-244-RA-,DPT,-0.0,0.586716
2483,P2:20682,25+39+73+127-DR-RO-,DPT,-0.0,0.257263
2484,P6:41,20+24+27+38+,B cells/CD10-/CD95+/IgG+,0.0,0.382657
2485,P2:26,25-38-39-73-127-DR-PD1+RO+,DPT,0.0,0.347942
2486,P1:20105,27-28-31-95+127-244-RA-,DPT,0.0,0.605945
2487,P4:6220,334-R7+,56+16-,0.0,0.455132
2488,P2:24723,25-38-39+73-DR+PD1-RO+,DPT,0.0,0.763565
2489,P1:537,27+28+31-57+95-127+244+RA+,DPT,-0.0,0.434546
2490,P4:3552,CD2+314-158a+,16+56,-0.0,0.169366
2491,P1:12290,31+95-127-RA+,CD8,-0.0,0.236667
2492,P2:21140,39+127-DR+RO-,DPT,-0.0,0.914005
2493,P1:22639,28-31+57+127+244-,DPT,0.0,0.224365
2494,P5 gd:1936,R5+,Vg9+/Vd2Low,0.0,0.29582
2495,P1:5449,95+127-244-RA+,CD4,-0.0,0.134983
2496,P1:25243,27+57+RA+,DPT,-0.0,0.174862
2497,P3:263,161+PD1-R4-R6+R10-XR3+XR5+,CD4/Memory,0.0,0.464798
2498,P5 gd:771,8+28-RA+R7+,CD3 T/VD1,-0.0,0.0912172
2499,P1:12772,27-28-31+95-127+RA+,CD8,-0.0,0.564671
2500,P2:25299,38+127+RO+,DPT,-0.0,0.275149
2501,P7 Mono:52,11c+16+32+64-123-141-274-DR+,Monocytes,-0.0,0.619303
2502,P1:25877,27+31-57-244+RA+,DPT,0.0,0.804532
2503,P4:3961,334-337+158b-R7+,16+56,0.0,0.595823
2504,P2:25163,25-38+73+127-RO+,DPT,0.0,0.836155
2505,P5 gd:937,8+RA-R7-,Vg9+/Vd2Hi,0.0,0.338746
2506,P1:581,27+28-31+57+95-127-244+RA-,DPT,-0.0,0.178134
2507,P1:11317,27+28-57+95+244+,CD8,-0.0,0.720785
2508,P3:6831,R4+R6+XR3-XR5-,CD8/Naive,-0.0,0.776432
2509,P1:8438,27+28-95+RA-,CD8,-0.0,0.803006
2510,P1:693,27-28+31+57+95+127-244+RA-,CD4,-0.0,0.59637
2511,P1:2443,27+31-95-127-244+RA-,CD4,0.0,0.362102
2512,P2:25210,25+38+39-RO+,DPT,-0.0,0.0388001
2513,P1:20051,28-31+127-244-RA-,DPT,-0.0,0.0728239
2514,P3:3450,161-PD1+R4+R10+XR3-,CD4/Naive,-0.0,0.196336
2515,P1:8500,28-31+57-95-127+RA-,CD8,-0.0,0.838367
2516,P1:21787,27+28+31+57+95+244+RA-,DPT,-0.0,0.419275
2517,P2:673,25-38+39+73+127-DR+PD1+RO+,CD8,-0.0,0.7599
2518,P2:25318,25+38+39-73+127+RO+,DPT,0.0,0.693654
2519,P5 CD8:69,27+28+R7-,CD8,-0.0,0.169281
2520,P1:25858,57+95-244+RA+,DPT,0.0,0.222079
2521,P7 Mono:6501,16+32-64-123+141+274+DR+,Monocytes,0.0,0.97907
2522,P4:5531,CD2-,56+16-,-0.0,0.21379
2523,P5 gd:188,8+27+28-RA-R5-R7-,Vg9+/Vd2Low,-0.0,0.957535
2524,P1:8199,27-28+95+127-RA-,CD8,0.0,0.875878
2525,P5 gd:53,8-27+28+RA-R5-R7+,Vg9+/Vd2Hi,-0.0,0.171091
2526,P4:5647,CD2+314-334+337+158a+,56+16-,0.0,
2527,P4:4264,CD2+314+334+158a+R7+,16+56,-0.0,0.370625
2528,P5 gd:538,8+27+28+,CD3 T/VD1,0.0,0.0444687
2529,P7 Mono:6247,32-64+274+DR+,Monocytes,-0.0,0.0476218
2530,P2:823,25-38+39-73+127-DR-PD1+RO+,CD4,0.0,0.29825
2531,P2:792,25+38-39-73-127-DR+PD1+RO+,CD4,0.0,0.232444
2532,P6:82,20+27+38-,CD10-/CD95+/IgA-IgG-/IgAGDM-,-0.0,0.286974
2533,P7:56,32-64-274+,14-/mDC/1c+,-0.0,0.528807
2534,P1:23446,28+57+95+127+,DPT,-0.0,0.323147
2535,P1:542,27-28+31+57+95+127+244+RA-,CD4,-0.0,0.391076
2536,P1:762,27-28+31-57-95-127+244+RA+,CD4,-0.0,0.985342
2537,P1:12125,27-31-127+244-RA+,CD8,-0.0,0.878223
2538,P2:22443,25-127+PD1-,DPT,0.0,0.230978
2539,P7 Mono:1797,16-32-64-123+141-274+DR-,Monocytes,-0.0,0.442104
2540,P1:7608,57+95-244-RA-,CD8,-0.0,0.775635
2541,P1:5753,27-28-95-127+244-RA+,CD4,-0.0,0.812443
2542,P2:4213,39+73+,CD4,-0.0,0.954249
2543,P2:25173,38+39+73+127-RO+,DPT,0.0,0.911428
2544,P1:11529,28+31-95+127+244+,CD8,-0.0,0.904913
2545,P2:25307,25-38+39+127+RO+,DPT,-0.0,0.850194
2546,P2:10897,25+39+127-DR-PD1+,CD8,-0.0,0.255684
2547,P6:228,20+,B cells/CD10-/CD95+/IgA,-0.0,0.748047
2548,P2:21033,25+39+73-127+RO-,DPT,0.0,0.930775
2549,P1:5232,27-28+95+127+244+,CD4,-0.0,0.756917
2550,P3:78,161-PD1-R4-R6-R10-XR3+XR5+,CD4/Naive,0.0,0.332955
2551,P3:495,161+PD1+R4-R6+R10+XR3-XR5+,CD4/Naive,-0.0,0.0493882
2552,P2:338,25-38+39+73-127-DR+PD1-RO-,DPT,-0.0,0.0723737
2553,P4:5289,158b-,56+16-,0.0,0.169507
2554,P1:7588,27+28-31+95-244-RA-,CD8,0.0,0.190304
2555,P2:246,25+38+39+73+127+DR+PD1-RO-,DPT,0.0,0.744197
2556,P7 Mono:6472,11c+16-32-64+141+274+DR+,Monocytes,-0.0,0.533586
2557,P2:6916,127-PD1+RO+,CD4,0.0,0.558393
2558,P3:2112,161+PD1+R6+R10+XR3-XR5+,CD4/Memory,0.0,0.72511
2559,P2:13070,25+38+39-DR-PD1+RO+,CD8,-0.0,0.642201
2560,P3:8621,161-PD1-R4+R6-XR3+XR5+,CD8/Naive,0.0,0.809944
2561,P2:21451,38+39+DR-PD1+RO-,DPT,-0.0,0.360164
2562,P2:22263,25-39+73-127-PD1-,DPT,-0.0,0.137391
2563,P1:21306,27+28+31+95+127+RA-,DPT,-0.0,0.172043
2564,P4:68,2+314+334+337-158a+158b+R7-,56+16-,0.0,0.804865
2565,P2:771,25+38-39+73-127+DR+PD1-RO+,CD4,-0.0,0.77826
2566,P3:718,161+PD1+R6+R10+XR3-XR5-,CD4/Memory,0.0,0.58597
2567,P2:12929,127+DR+RO+,CD8,-0.0,0.690295
2568,P3:99,161-PD1-R4-R6-R10+XR3+XR5-,CD8/Memory,0.0,0.189264
2569,P2:23894,25+39-127+PD1+,DPT,0.0,0.740082
2570,P3:7552,161+PD1+R4-R10+XR3-,CD8/Naive,-0.0,0.526618
2571,P3:855,161+R4+XR5-,CD4/Memory,0.0,0.896064
2572,P3:6536,161-PD1+R6+R10-XR3+XR5+,CD8/Memory,-0.0,0.828471
2573,P5 gd:1229,27+28+RA+,Vg9+/Vd2Hi,-0.0,0.576967
2574,P1:11755,27+95+127-244-RA+,CD8,-0.0,0.048237
2575,P7 Mono:4288,16-32-123-141+274+,Monocytes,-0.0,0.10592
2576,P4:4400,314+158b+R7+,16+56,-0.0,0.209308
2577,P1:21739,27+31-95+244+RA-,DPT,0.0,0.448153
2578,P5 gd:264,8-27+28-RA-R7-,CD3 T/VD1,0.0,0.006143
2579,P5 gd:1825,27-RA-,Vg9+/Vd2Low,-0.0,0.531442
2580,P5 gd:89,8-27+28-RA-R5-R7-,Vg9+/Vd2Hi,-0.0,0.436184
2581,P2:25987,38+39-127+PD1+RO+,DPT,-0.0,0.920131
2582,P7 Mono:4142,11c+16+274+,Monocytes,0.0,0.370757
2583,P2:331,25-38+39+73+127+DR-PD1+RO-,DPT,-0.0,0.104821
2584,P1:9377,27+28-57+95+127+244+RA-,CD8,0.0,0.317345
2585,P4:3799,CD2-314+158a+158b+,16+56,-0.0,0.00674342
