,Trait ID
1697,P4:2400
1698,P4:6518
1699,P4:2181
1700,P4:6299
1701,P4:2154
1702,P4:6272
1703,P4:1511
1704,P4:3570
1705,P4:5629
1706,P4:1268
1707,P4:3327
1708,P4:5386
1709,P4:1754
1710,P4:3813
1711,P4:5872
1712,P4:2873
1713,P4:4932
1714,P4:814
1715,P4:2208
1716,P4:4267
1717,P4:6326
1718,P4:1964
1719,P4:6082
1720,P4:2418
1721,P4:4477
1722,P4:6536
1723,P4:2199
1724,P4:4258
1725,P4:6317
1726,P4:2172
1727,P4:4231
1728,P4:6290
1729,P4:1529
1730,P4:5647
1731,P4:1286
1732,P4:5404
1733,P4:1772
1734,P4:5890
1735,P4:4950
1736,P4:832
1737,P4:2226
1738,P4:4285
1739,P4:6344
1740,P4:1932
1741,P4:6050
1742,P4:2386
1743,P4:6504
1744,P4:2163
1745,P4:1520
1746,P4:5638
1747,P4:1277
1748,P4:5395
1749,P4:4702
1750,P4:584
1751,P4:1978
1752,P4:4037
1753,P4:6096
1754,P4:1763
1755,P4:5881
1756,P4:1038
1757,P4:5156
1758,P4:2432
1759,P4:4491
1760,P4:6550
1761,P4:4941
1762,P4:823
1763,P4:2217
1764,P4:4276
1765,P4:6335
1766,P4:1961
1767,P4:2415
1768,P4:2196
1769,P4:1952
1770,P4:2406
1771,P4:2187
1772,P4:2160
1773,P4:1517
1774,P4:1274
1775,P4:1760
1776,P4:5878
1777,P4:820
1778,P4:2214
1779,P4:4273
1780,P4:6332
1781,P4:1970
1782,P4:4029
1783,P4:2424
1784,P4:2205
1785,P4:2178
1786,P4:1535
1787,P4:1292
1788,P4:1778
1789,P4:5896
1790,P4:838
1791,P4:2232
1792,P4:4291
1793,P4:6350
1794,P4:1938
1795,P4:2392
1796,P4:2169
1797,P4:1526
1798,P4:1283
1799,P4:590
1800,P4:1984
1801,P4:4043
1802,P4:6102
1803,P4:1769
1804,P4:5887
1805,P4:1044
1806,P4:5162
1807,P4:2438
1808,P4:4497
1809,P4:6556
1810,P4:829
1811,P4:2223
1812,P4:4282
1813,P4:6341
1814,P4:1949
1815,P4:2403
1816,P4:2184
1817,P4:1928
1818,P4:2382
1819,P4:2157
1820,P4:1514
1821,P4:1271
1822,P4:580
1823,P4:1974
1824,P4:4033
1825,P4:6092
1826,P4:1757
1827,P4:5875
1828,P4:1034
1829,P4:5152
1830,P4:2428
1831,P4:4487
1832,P4:6546
1833,P4:817
1834,P4:2211
1835,P4:4270
1836,P4:6329
1837,P4:1967
1838,P4:4026
1839,P4:6085
1840,P4:2421
1841,P4:2202
1842,P4:1942
1843,P4:4001
1844,P4:6060
1845,P4:2396
1846,P4:2175
1847,P4:1532
1848,P4:1289
1849,P4:594
1850,P4:1988
1851,P4:4047
1852,P4:6106
1853,P4:1775
1854,P4:5893
1855,P4:1048
1856,P4:5166
1857,P4:2442
1858,P4:4501
1859,P4:6560
1860,P4:835
1861,P4:2229
1862,P4:4288
1863,P4:6347
1864,P4:1935
1865,P4:2389
1866,P4:2166
1867,P4:1523
1868,P4:1280
1869,P4:587
1870,P4:1981
1871,P4:4040
1872,P4:6099
1873,P4:1766
1874,P4:5884
1875,P4:1041
1876,P4:5159
1877,P4:2435
1878,P4:4494
1879,P4:6553
1880,P4:826
1881,P4:2220
1882,P4:4279
1883,P4:6338
1884,P4:4461
1885,P4:6323
1886,P4:4014
1887,P4:3991
1888,P4:4476
1889,P4:4452
1890,P4:4228
1891,P4:4256
1892,P4:4229
1893,P4:4243
1894,P4:6296
1895,P4:4022
1896,P4:3998
1897,P4:4465
1898,P4:4462
1899,P4:4474
1900,P4:4249
1901,P4:4222
1902,P4:173
1903,P4:4021
1904,P4:4464
1905,P4:4246
1906,P4:279
1907,P4:3343
1908,P4:4468
1909,P4:4445
1910,P4:4440
1911,P4:5852
1912,P4:5825
1913,P4:255
1914,P4:4463
1915,P4:1726
1916,P4:1005
1917,P4:4924
1918,P4:4897
1919,P4:4236
1920,P4:1699
1921,P4:985
1922,P4:4000
1923,P4:4025
1924,P4:3583
1925,P4:2886
1926,P4:4459
1927,P4:262
1928,P4:4216
1929,P4:4451
1930,P4:6286
1931,P4:6313
1932,P4:5131
1933,P4:5108
1934,P4:4263
1935,P4:4441
1936,P4:3580
1937,P4:4923
1938,P4:2883
1939,P4:4896
1940,P4:4458
1941,P4:4438
1942,P4:4257
1943,P4:4230
1944,P4:4442
1945,P4:221
1946,P4:4219
1947,P4:3830
1948,P4:3104
1949,P4:4688
1950,P4:4240
1951,P4:4213
1952,P4:186
1953,P4:4028
1954,P4:200
1955,P4:6542
1956,P4:4002
1957,P4:4232
1958,P4:4013
1959,P4:3990
1960,P4:6515
1961,P4:4259
1962,P4:6541
1963,P4:268
1964,P4:4475
1965,P4:4012
1966,P4:3989
1967,P4:215
1968,P4:4003
1969,P4:803
1970,P4:776
1971,P4:4024
1972,P4:3999
1973,P4:4004
1974,P4:3984
1975,P4:3093
1976,P4:3592
1977,P4:2895
1978,P4:4247
1979,P4:4220
1980,P4:1500
1981,P4:1473
1982,P4:22
1983,P4:1727
1984,P4:1006
1985,P4:1700
1986,P4:6284
1987,P4:240
1988,P4:4467
1989,P4:4444
1990,P4:3589
1991,P4:2892
1992,P4:6311
1993,P4:6514
1994,P4:6539
1995,P4:3340
1996,P4:2647
1997,P4:3337
1998,P4:537
1999,P4:2644
2000,P4:560
2001,P4:1241
2002,P4:552
2003,P4:64
2004,P4:1214
2005,P4:561
2006,P4:538
2007,P4:4238
2008,P4:4211
2009,P4:4239
2010,P4:4212
2011,P4:4248
2012,P4:4221
2013,P4:1222
2014,P4:1249
2015,P4:6069
2016,P4:4466
2017,P4:4443
2018,P4:6526
2019,P4:6503
2020,P4:6047
2021,P4:1250
2022,P4:1223
2023,P4:237
2024,P4:4481
2025,P4:1483
2026,P4:786
2027,P4:4446
2028,P4:1456
2029,P4:759
2030,P4:4469
2031,P4:6287
2032,P4:92
2033,P4:6314
2034,P4:5840
2035,P4:6304
2036,P4:1248
2037,P4:559
2038,P4:1221
2039,P4:536
2040,P4:6277
2041,P4:3349
2042,P4:217
2043,P4:1521
2044,P4:824
2045,P4:143
2046,P4:6068
2047,P4:3346
2048,P4:2651
2049,P4:5146
2050,P4:6513
2051,P4:6538
2052,P4:5377
2053,P4:5350
2054,P4:1524
2055,P4:827
2056,P4:5620
2057,P4:6276
2058,P4:6303
2059,P4:5593
2060,P4:4027
2061,P4:5867
2062,P4:209
2063,P4:4023
2064,P4:283
2065,P4:1533
2066,P4:836
2067,P4:1530
2068,P4:833
2069,P4:4235
2070,P4:4254
2071,P4:4262
2072,P4:6507
2073,P4:4449
2074,P4:4227
2075,P4:4472
2076,P4:6530
2077,P4:4224
2078,P4:6532
2079,P4:6509
2080,P4:6510
2081,P4:6533
2082,P4:4692
2083,P4:5863
2084,P4:5836
2085,P4:5118
2086,P4:111
2087,P4:4927
2088,P4:166
2089,P4:5142
2090,P4:4245
2091,P4:5143
2092,P4:6506
2093,P4:4900
2094,P4:4218
2095,P4:1484
2096,P4:787
2097,P4:1457
2098,P4:760
2099,P4:5837
2100,P4:5864
2101,P4:4019
2102,P4:3996
2103,P4:4242
2104,P4:171
2105,P4:4009
2106,P4:5624
2107,P4:4215
2108,P4:5597
2109,P4:5381
2110,P4:4006
2111,P4:3985
2112,P4:4010
2113,P4:3988
2114,P4:5354
2115,P4:4007
2116,P4:3986
2117,P4:4018
2118,P4:3995
2119,P4:3993
2120,P4:5862
2121,P4:5835
2122,P4:5141
2123,P4:5117
2124,P4:569
2125,P4:545
2126,P4:4241
2127,P4:4214
2128,P4:1258
2129,P4:1231
2130,P4:114
2131,P4:1718
2132,P4:1745
2133,P4:1024
2134,P4:4015
2135,P4:3992
2136,P4:5861
2137,P4:5834
2138,P4:6535
2139,P4:6511
2140,P4:4244
2141,P4:4217
2142,P4:155
2143,P4:5140
2144,P4:4250
2145,P4:4223
2146,P4:4226
2147,P4:4253
2148,P4:97
2149,P4:1257
2150,P4:568
2151,P4:1230
2152,P4:6499
2153,P4:6520
2154,P4:6501
2155,P4:6500
2156,P4:6523
2157,P4:6521
2158,P4:190
2159,P4:6524
