,feature_name,marker_definition,parent_population,en_betas,p_1
17589,P1:4420,127+,CD4,0.0,0.530056
17590,P1:4539,27-28+31+57+95+127+,CD4,-0.0,0.399921
17591,P1:12252,27+28-57-95-127-RA+,CD8,-0.0,0.585146
17592,P3:724,161-PD1-R4-R6-R10-XR5-,CD4/Memory,-0.0,0.264191
17593,P2:2239,25-38-73+127-DR+RO-,CD4,-0.0,0.385411
17594,P3:6953,PD1+R4+R10-XR5-,CD8/Naive,-0.0,0.0478324
17595,P7:143,32-64-,14-/11c+ (nodim)/XPres,0.0,0.50213
17596,P2:25223,25-39+RO+,DPT,-0.0,0.131747
17597,P2:5219,25+38-39-127+DR+PD1+,CD4,0.0,0.6983
17598,P2:244,25+38-39-73+127+DR-PD1-RO-,CD4,-0.0,0.343517
17599,P2:2835,38+127+PD1+RO-,CD4,-0.0,0.780401
17600,P1:8756,95-127-244+RA-,CD8,-0.0,0.614858
17601,P2:6456,38+39-127-DR+RO+,CD4,-0.0,0.906623
17602,P7 Mono:249,11c-16-32+64+123+141+274-DR-,Monocytes,0.0,0.578736
17603,P1:20694,27+28+31-57-127-RA-,DPT,-0.0,0.0158596
17604,P1:13337,27-31+57+244+RA+,CD8,0.0,0.966355
17605,P7 Mono:583,16+32-274-DR-,Monocytes,0.0,0.919601
17606,P1:21752,27-28-31+95+244+RA-,DPT,0.0,0.136091
17607,P1:6594,28-57-95+127+RA+,CD4,-0.0,0.964339
17608,P1:25608,27-28-95-127-244+RA+,DPT,0.0,0.521401
17609,P1:8647,31-57-95+127+RA-,CD8,-0.0,0.370458
17610,P7 Mono:4395,11c-16-32-64+141+274+,Monocytes,0.0,0.489571
17611,P1:1081,27+57+95-127-244-RA-,CD4,0.0,0.42331
17612,P1:22265,27+31+57-95-244-,DPT,0.0,0.267735
17613,P1:8830,27+127-244+RA-,CD8,-0.0,0.567673
17614,P1:25480,27+28+31-57+127+RA+,DPT,-0.0,0.156344
17615,P1:10121,27-31-57-95-127-,CD8,-0.0,0.215054
17616,P2:12570,25+39-73-RO+,CD8,-0.0,0.118384
17617,P7 Mono:687,11c-32-64+123+274-DR-,Monocytes,-0.0,0.124456
17618,P3:5753,PD1+R4+R10+,CD8/Memory,0.0,0.249035
17619,P1:23834,27+28+31+244+,DPT,-0.0,0.6793
17620,P2:4726,39+73-127+DR-PD1+,CD4,-0.0,0.706992
17621,P1:2360,31+57-95+127+RA-,CD4,0.0,0.465713
17622,P7 Mono:4456,16+32-123+141+274+,Monocytes,-0.0,0.172609
17623,P2:26100,38-39-73-DR+PD1+RO+,DPT,-0.0,0.74917
17624,P3:81,161-PD1+R4-R6-R10-XR3+XR5-,CD4/Naive,-0.0,0.921994
17625,P1:5122,57-127+244+,CD4,-0.0,0.958586
17626,P1:4135,28+31+57+95-,CD4,-0.0,0.45785
17627,P3:7854,R6-R10-XR3+,CD8/Naive,0.0,0.112139
17628,P4:3972,CD2-314+337+158b-R7+,16+56,-0.0,0.701811
17629,P4:4071,334+337-158a-R7+,16+56,-0.0,0.996852
17630,MFI:555,CD28 Cy5 PE,Lymphs/T cells/CD8/28,-0.0,0.635024
17631,P1:4552,28-57-95-127-244+,CD4,0.0,0.464614
17632,P3:1436,161-PD1+R6-R10-,CD4/Memory,0.0,0.234594
17633,P2:2653,25+39+73-127-PD1+RO-,CD4,0.0,0.918828
17634,P2:4607,25+38-73+127-DR-PD1+,CD4,-0.0,0.879903
17635,P7 Mono:4741,11c-16-32-123-274-DR+,Monocytes,-0.0,0.157868
17636,P1:21140,31+95-127+RA-,DPT,0.0,0.120894
17637,P1:11554,27+31-57+95+127+244+,CD8,0.0,0.641087
17638,P3:7185,R4+R10-XR3+XR5-,CD8/Naive,0.0,0.0811926
17639,P2:2924,25-38-73+127-DR+PD1+RO-,CD4,-0.0,0.787203
17640,P1:23540,27+28-31-57-127-244+,DPT,0.0,0.0524981
17641,P1:22268,27+28+31+57-95-244-,DPT,0.0,0.226818
17642,P2:6564,38+39-73+DR+RO+,CD4,-0.0,0.978719
17643,P2:11551,25+38-39-73+127+DR+PD1+,CD8,-0.0,0.474901
17644,P2:8708,25+38-73+127+DR+RO-,CD8,-0.0,0.545357
17645,P3:5553,161+R6-R10-,CD8/Memory,-0.0,0.924732
17646,P1:7885,27-28-127+244-RA-,CD8,0.0,0.667031
17647,P1:2724,57-244+RA-,CD4,-0.0,0.527534
17648,P1:6811,28-31-57-95+127-244+RA+,CD4,0.0,0.81583
17649,P1:23796,27-28+57-244+,DPT,0.0,0.103464
17650,P1:6180,28-31-57-95-RA+,CD4,-0.0,0.517376
17651,P3:8303,161+PD1+R4-R6-R10-XR5+,CD8/Naive,-0.0,0.822292
17652,P2:11583,25+38-73-127-DR-PD1-RO+,CD8,-0.0,0.139871
17653,P1:5426,57-95+127-244-RA+,CD4,-0.0,0.0469424
17654,P1:398,27-28+31+57+95+127-244-RA-,DPT,-0.0,0.0526266
17655,P2:9145,25-39+127+PD1+RO-,CD8,-0.0,0.0654445
17656,P1:5008,28+31-57+95+244+,CD4,0.0,0.602818
17657,P2:8989,25-38-39-73+127-PD1+RO-,CD8,0.0,0.626343
17658,P2:818,25+38+39-73+127-DR-PD1-RO+,CD8,0.0,0.904253
17659,P2:937,25+38+39-73+127-DR+PD1-RO-,CD8,-0.0,0.0722705
17660,P3:5629,161-PD1-R6-,CD8/Memory,0.0,0.774767
17661,P1:23708,27+28+31-57-95-244+,DPT,-0.0,0.925832
17662,P5 gd:811,27+28+RA-R5+R7+,CD3 T/VD1,0.0,0.896364
17663,P1:3062,27-28+31+95+127+244+RA-,CD4,-0.0,0.501256
17664,P2:12546,25+38+39-73+127-RO+,CD8,-0.0,0.882805
17665,P5 gd:341,28-RA-R5+R7-,CD3 T/VD1,-0.0,0.986862
17666,P2:8467,73+127+RO-,CD8,0.0,0.0436424
17667,P3:4990,R6+XR5-,CD8/Memory,0.0,0.988536
17668,P1:6170,27-28-31+57+95+127-RA+,CD4,0.0,0.417533
17669,P2:10220,25-39+73-DR-,CD8,-0.0,0.0681524
17670,P5 gd:1110,8+R5-,Vg9+/Vd2Hi,0.0,0.590743
17671,P2:24086,25+38+39-73+DR+PD1+,DPT,0.0,0.175216
17672,P1:11138,27-31+95-244+,CD8,-0.0,0.099437
17673,P3:2441,161-PD1+R6-XR3+XR5+,CD4/Memory,0.0,0.171815
17674,P7 Mono:783,16+32-64-141+274-DR-,Monocytes,-0.0,0.0945292
17675,P7 Mono:1805,11c-64-123+141-274+DR-,Monocytes,-0.0,0.774895
17676,P2:1186,25-39+73-127+DR-PD1-RO-,CD4,-0.0,0.22317
17677,P1:23125,28-31+57+,DPT,0.0,0.131281
17678,P3:385,161-PD1+R4+R6-R10-XR3+XR5+,CD4/Naive,0.0,0.792983
17679,P3:1909,R4-R6-R10-XR3-XR5+,CD4/Memory,-0.0,0.898435
17680,P2:22764,25-38-127-DR-,DPT,0.0,0.144243
17681,P2:6682,25+39+73-127-DR-PD1+RO+,CD4,0.0,0.956789
17682,P3:526,161+PD1+R6-R10-XR3-XR5-,CD4/Memory,0.0,0.686889
17683,P7 Mono:2003,11c-16+32-64+274+DR-,Monocytes,-0.0,0.407614
17684,P2:4785,25-38-39-73-127-PD1+,CD4,0.0,0.862244
17685,P4:2994,334-158b+R7-,16+56,-0.0,0.486312
17686,P1:4077,27-31+57-95-,CD4,0.0,0.144883
17687,P1:21823,28+95-127+244+RA-,DPT,0.0,0.198287
17688,P6:140,20+38-,CD10-/CD95+/IgA-IgG-/IgM+,0.0,0.898432
17689,P2:25318,25+38+39-73+127+RO+,DPT,0.0,0.885744
17690,P1:4347,27-31+95-127+,CD4,0.0,0.0660303
17691,P1:11951,27+28-31-57-95+244-RA+,CD8,-0.0,0.117315
17692,P1:20837,28+57+95+127-RA-,DPT,-0.0,0.127723
17693,P5 gd:1183,8-27+28-,Vg9+/Vd2Hi,0.0,0.929234
17694,P1:25224,31+RA+,DPT,0.0,0.714062
17695,P1:21017,28+31-57-95+RA-,DPT,-0.0,0.174939
17696,P1:10749,28-57+127+,CD8,0.0,0.20206
17697,P5 gd:602,8-27-R5+,CD3 T/VD1,0.0,0.160503
17698,P1:6293,27-28+31-RA+,CD4,0.0,0.32352
17699,P2:3160,39+73+127-DR-PD1-,CD4,0.0,0.457927
17700,P1:1145,28-31-57+127-244-RA-,CD4,0.0,0.185027
17701,P1:11507,27-57-95+127+244+,CD8,0.0,0.954328
17702,P1:9209,27-95-127+244+RA-,CD8,-0.0,0.932921
17703,P1:6558,28-31-57+127+RA+,CD4,0.0,0.024993
17704,P2:20252,25+38-39+73-PD1-RO-,DPT,-0.0,0.551403
17705,P7 Mono:5595,32+64-123+DR+,Monocytes,-0.0,0.899473
17706,P2:6044,25-38-39-DR-RO+,CD4,0.0,0.779866
17707,P1:8283,27-28-31+95-RA-,CD8,-0.0,0.298941
17708,P2:1256,25+38-39+73-127-PD1-RO-,CD4,-0.0,0.49049
17709,P2:12477,25+38-39+73+127+DR-RO+,CD8,0.0,0.302874
17710,P1:10720,27+28+31-127+,CD8,-0.0,0.796496
17711,P3:3205,161+R10+XR3+XR5-,CD4/Naive,0.0,0.279495
17712,P3:6786,R4-XR3-XR5-,CD8/Naive,-0.0,0.129572
17713,P1:22298,27+28-31-57+95-244-,DPT,-0.0,0.423748
17714,P2:12841,25-38+39-DR+RO+,CD8,-0.0,0.320179
17715,P7 Mono:6226,16-274+DR+,Monocytes,0.0,0.707511
17716,MFI:550,CD8 QD585,Lymphs/T cells/CD8/25,0.0,0.170195
17717,P1:26065,27-95-127+244+RA+,DPT,0.0,0.417675
17718,P1:5461,28+31+95+127-244-RA+,CD4,-0.0,0.236337
17719,P1:23601,27-28-57+127-244+,DPT,0.0,0.0240133
17720,P2:12182,38-73-127+DR+PD1-RO+,CD8,-0.0,0.9708
17721,P1:24471,27+28-31+57+95-244-RA+,DPT,0.0,0.260024
17722,P3:2804,161-R4+R6-R10-XR5-,CD4/Naive,0.0,0.222483
17723,P7 Mono:3099,11c-16-32-64+123-141-,Monocytes,0.0,0.968259
17724,P2:25716,25+38+73+DR-PD1+RO+,DPT,-0.0,0.491896
17725,P5 gd:2038,8-28+RA+R5-R7+,Vg9+/Vd2Low,-0.0,0.185021
17726,P1:9899,27-28+31+57-95-127+244-,CD8,0.0,0.182932
17727,P2:2030,38+73-RO-,CD4,0.0,0.581787
17728,P7 Mono:1582,11c-64-123+141+DR-,Monocytes,0.0,0.91998
17729,P2:23964,25-39+73-127-DR+PD1+,DPT,-0.0,0.0208738
17730,P3:6944,PD1+R10-XR5-,CD8/Naive,-0.0,0.0190969
17731,P2:3862,39+127-DR-,CD4,-0.0,0.990688
17732,P3:6602,R4-R6+XR3+XR5+,CD8/Memory,-0.0,0.316303
17733,P2:9308,25+38-73+DR+PD1+RO-,CD8,-0.0,0.0471432
17734,P4:77,2-314+334-337-158a+158b+R7-,16+56,-0.0,0.00693217
17735,P1:23617,28+31+57+127-244+,DPT,-0.0,0.332419
17736,P2:24476,38+39+73+127-PD1-RO+,DPT,-0.0,0.80794
17737,P3:7799,161-R10+,CD8/Naive,-0.0,0.490123
17738,P1:25983,27-31-95+244+RA+,DPT,0.0,0.00797044
17739,P1:24197,27-28+57-95-127-244-RA+,DPT,0.0,0.412076
17740,P1:23702,27+28-31-57-95-244+,DPT,0.0,0.693953
17741,P1:6021,31-57-127-RA+,CD4,-0.0,0.164617
17742,P2:8948,73-127-PD1+RO-,CD8,-0.0,0.0639691
17743,P1:1336,28-31+57-244-RA-,CD4,-0.0,0.219284
17744,P2:7001,25+38+PD1+RO+,CD4,0.0,0.656616
17745,P1:25620,27-31+95-127-244+RA+,DPT,-0.0,0.644242
17746,P2:24488,38-73-PD1-RO+,DPT,-0.0,0.201518
17747,P2:3933,25-DR-,CD4,0.0,0.580326
17748,P2:10705,25+38-39+73-DR+,CD8,0.0,0.621538
17749,P4:5862,314-334+158a+158b+,56+16-,0.0,0.636641
17750,P4:5293,CD2+314+158b-,56+16-,0.0,0.431638
17751,P3:6971,PD1+R6+R10-XR5-,CD8/Naive,-0.0,0.0929833
17752,P3:5003,161+PD1+R4+R6+XR5-,CD8/Memory,0.0,0.0566188
17753,P1:5059,31-95-127+244+,CD4,0.0,0.116105
17754,P2:1878,25+38+39+73-127+DR-RO-,CD4,-0.0,0.143447
17755,P3:6208,161-PD1-R4+R10+XR3-XR5+,CD8/Memory,-0.0,0.301227
17756,P1:23713,57-95-244+,DPT,0.0,0.350782
17757,P2:24862,25+38-73-127-DR-RO+,DPT,-0.0,0.0492094
17758,P1:1097,28+31-57-127-244-RA-,CD4,-0.0,0.499542
17759,P4:5149,314-334-337+158a+158b+R7-,56+16-,0.0,
17760,P2:23853,25-38-39+73+PD1+,DPT,0.0,0.516916
17761,P1:24512,28+31-244-RA+,DPT,-0.0,0.156513
17762,P2:11187,38+73-PD1+,CD8,-0.0,0.0345273
17763,P7 Mono:3852,11c-16+32+64+123-141-274+,Monocytes,-0.0,0.366699
17764,P1:12573,27+28+31-57-RA+,CD8,0.0,0.748195
17765,P1:7140,27+28-31-95-127+244+RA+,CD4,0.0,0.742346
17766,P3:7698,PD1-R4+R6-,CD8/Naive,0.0,0.324575
17767,P1:6615,31-95+127+RA+,CD4,-0.0,0.733986
17768,P1:6715,28+31-57+95-127-244+RA+,CD4,-0.0,0.827156
17769,P7:240,32+64-,14-/mDC/XPres,-0.0,0.11934
17770,P1:3475,57+244-,CD4,0.0,0.344723
17771,P2:6144,38-39+127+DR-RO+,CD4,-0.0,0.727035
17772,P4:5262,337-158b-,56+16-,0.0,0.114986
17773,P2:10583,25-38+39-73+127+,CD8,0.0,0.0152256
17774,P1:4514,27+28+31+95+127+,CD4,0.0,0.458636
17775,P2:22305,25-38-73+127-PD1-,DPT,0.0,0.832468
17776,P6:77,24+38-,CD10-/CD95+/IgA-IgG-/IgAGDM-,0.0,0.815934
17777,P1:10195,27+31+57+95-127-,CD8,-0.0,0.634492
17778,P7 Mono:4353,11c-64-141+274+,Monocytes,0.0,0.211546
17779,P3:4459,161+PD1-R4+R10-XR3+XR5+,CD4/Naive,0.0,0.971186
17780,P2:20539,25+38+39+73+DR+PD1-RO-,DPT,-0.0,0.734831
17781,P3:7379,161-PD1+R4+R6-R10-XR3-,CD8/Naive,-0.0,0.0988337
17782,P4:3590,334+337+158a+,16+56,0.0,0.573455
17783,P1:7114,31+57+95+244+RA+,CD4,0.0,0.340941
17784,P1:3610,95-127+244-,CD4,0.0,0.859095
17785,P1:24116,27+28-57-95+127+244+,DPT,-0.0,0.86378
17786,P3:1179,PD1-R4-R6-R10-XR3-,CD4/Memory,-0.0,0.0983071
17787,P7 Mono:1233,11c+64+123-DR-,Monocytes,0.0,0.92879
17788,P5 gd:66,8+27-28-RA-R5+R7-,CD3 T/VD1,-0.0,0.124877
17789,P1:24709,31-57-127+244-RA+,DPT,-0.0,0.266275
17790,P3:5433,161+PD1-R4-R6+XR3-,CD8/Memory,-0.0,0.260581
17791,P2:26065,25-127-DR+PD1+RO+,DPT,-0.0,0.184175
17792,P4:5761,CD2+314+334+337-158b+,56+16-,-0.0,0.466952
17793,P2:7958,25-38-127+DR+PD1-RO-,CD8,0.0,0.288663
17794,P2:23249,25+38+39-127-DR+,DPT,0.0,0.215902
17795,P2:24812,38+39-127+DR+PD1-RO+,DPT,-0.0,0.0213729
17796,P1:7874,28+31+57-127+244-RA-,CD8,-0.0,0.220848
17797,P2:7827,25-38+39+127-DR+PD1-RO-,CD8,-0.0,0.404657
17798,P1:8008,57-95-127-RA-,CD8,0.0,0.522944
17799,MFI:585,CD45RO FITC,Lymphs/T cells/CD8/RO,0.0,0.511661
17800,P2:11653,25-73-DR-PD1-RO+,CD8,-0.0,0.0586296
17801,P2:12415,25-73-127+DR-RO+,CD8,-0.0,0.084679
17802,P2:26126,25-38-39-DR+PD1+RO+,DPT,-0.0,0.935466
17803,P3:657,PD1+R4+R6+XR3-XR5-,CD4/Memory,0.0,0.372102
17804,P2:6113,25-38+73-127+DR-RO+,CD4,-0.0,0.966488
17805,MFI:489,CD56 BV570,Lymphs/nonT/NK/56+16-/CD158b,0.0,0.678031
17806,P2:20510,25-38+39+DR+PD1-RO-,DPT,-0.0,0.425139
17807,P1:4635,27-57-127-244+,CD4,-0.0,0.277783
17808,P2:4087,39-127-,CD4,-0.0,0.897117
17809,P7 Mono:4202,11c+32+64-123+274+,Monocytes,0.0,0.142781
17810,P2:8902,127+DR-PD1+RO-,CD8,-0.0,0.31186
17811,P1:22176,27-28+57-95+127-244-,DPT,-0.0,0.0653025
17812,P2:4605,25-38-73+127-DR-PD1+,CD4,0.0,0.338765
17813,P1:10919,27-28-31+57+95-127-244+,CD8,-0.0,0.087377
17814,P1:12782,28-31-57+95-127+RA+,CD8,0.0,0.85333
17815,P7 Mono:2717,11c+32+64+274-,Monocytes,0.0,0.779325
17816,P3:2598,PD1+R4-R10-XR3-XR5-,CD4/Naive,0.0,0.682128
17817,P4:4401,CD2+314+158b+R7+,16+56,-0.0,0.205208
17818,P1:11985,27-28-95+244-RA+,CD8,-0.0,0.34948
17819,P3:5313,161+PD1+R6-R10-XR3-,CD8/Memory,0.0,0.328336
17820,P4:5768,CD2-314+334-158b+,56+16-,-0.0,0.11372
17821,P2:20096,25+73-127+DR-PD1-RO-,DPT,-0.0,0.0181516
17822,P1:25675,27-31-127-244+RA+,DPT,0.0,0.0287438
17823,P4:5130,CD2+314+334-158a+158b+R7-,56+16-,0.0,0.958656
17824,P5 gd:787,8-28+RA+R7+,CD3 T/VD1,0.0,0.148657
17825,P1:7648,27+28+31+57-244-RA-,CD8,-0.0,0.146544
17826,P2:25541,25-38+127+DR+RO+,DPT,-0.0,0.0227194
17827,P1:22208,27+28-31+95+127-244-,DPT,0.0,0.0407845
17828,P3:7952,161-R4-XR3+,CD8/Naive,0.0,0.153334
17829,P2:1246,38-73-127-PD1-RO-,CD4,-0.0,0.826283
17830,P3:6661,161+PD1+R10+XR3+XR5+,CD8/Memory,-0.0,0.898567
17831,P2:9217,25+38-39+127-DR+PD1+RO-,CD8,-0.0,0.163059
17832,P3:3546,161-R6+R10-,CD4/Naive,0.0,0.474322
17833,P7 Mono:3095,11c+32+123-141-,Monocytes,0.0,0.301266
17834,P2:21316,25-38-73+127+DR+RO-,DPT,-0.0,0.189265
17835,P2:11647,25-38+39-73-DR-PD1-RO+,CD8,-0.0,0.0262045
17836,P2:25594,38-39+73-127-DR-PD1+RO+,DPT,-0.0,0.655025
17837,P3:7813,161+PD1+R4+R10+,CD8/Naive,0.0,0.532767
17838,P1:6306,28-31+RA+,CD4,-0.0,0.913071
17839,P2:1524,25+38+39+127-DR+PD1-RO-,CD4,-0.0,0.176527
17840,P1:4496,27+28+31-95+127+,CD4,-0.0,0.913341
17841,P1:13285,27+31+57-244+RA+,CD8,-0.0,0.0233968
17842,P1:11718,27+31+57+127-244-RA+,CD8,-0.0,0.051405
17843,P3:182,161+PD1-R4-R6-R10-XR3-XR5+,CD8/Naive,0.0,0.639759
17844,P2:21091,25-38-39-73-127-DR+RO-,DPT,0.0,0.0250646
17845,P3:5267,161+PD1+R10+XR3+XR5-,CD8/Memory,0.0,0.0938963
17846,P3:6148,R4-R6+XR3-XR5+,CD8/Memory,0.0,0.741732
17847,P5 gd:968,8-27-28+R7-,Vg9+/Vd2Hi,0.0,0.882168
17848,P7 Mono:5537,11c-16-32+DR+,Monocytes,-0.0,0.140031
17849,P3:7905,PD1-R6+R10-XR3+,CD8/Naive,0.0,0.913771
17850,MFI:509,CD4 QD605,Lymphs/T cells/CD4/28,-0.0,0.990559
17851,P4:2666,CD2+314-337-158a-R7-,16+56,-0.0,0.287819
17852,P1:6418,27+31+57+95+RA+,CD4,-0.0,0.257608
17853,P5 gd:1892,8+28+RA+,Vg9+/Vd2Low,0.0,0.907086
17854,P3:4737,161+XR3-XR5-,CD8/Memory,-0.0,0.429485
17855,P3:6371,161-PD1-R4-R6+XR5+,CD8/Memory,0.0,0.965088
17856,P5 gd:1206,8+27-28-RA+,Vg9+/Vd2Hi,0.0,0.858949
17857,P2:8562,25-38-39-73-DR+RO-,CD8,0.0,0.0542207
17858,P2:23932,38+73+127+PD1+,DPT,-0.0,0.931437
17859,P2:26192,38+73-127+DR+PD1+RO+,DPT,-0.0,0.0512972
17860,MFI:458,CD16 BV421,Lymphs/nonT/NK/16+56/2,0.0,0.381795
17861,P5 gd:1207,8-28-RA+,Vg9+/Vd2Hi,0.0,0.661435
17862,P3:8045,161-PD1+R10+XR3+,CD8/Naive,-0.0,0.721801
17863,P2:1871,38-39+73-127+DR-RO-,CD4,-0.0,0.127577
17864,P1:3076,27-28+57+95+127+244+RA-,CD4,-0.0,0.576324
17865,P2:22438,38+39-127+PD1-,DPT,-0.0,0.976717
17866,P1:4267,31+95+,CD4,-0.0,0.912041
17867,P2:6350,25-38-73-127+RO+,CD4,0.0,0.863386
17868,P1:10147,27+28-31-95-127-,CD8,0.0,0.690261
17869,P1:22239,27-28+31+57+95+127-244-,DPT,-0.0,0.0720841
17870,P3:3290,161+PD1+R4+R10-XR3-,CD4/Naive,-0.0,0.379981
17871,P7 Mono:5808,16-32+64+141+DR+,Monocytes,-0.0,0.854972
17872,P2:7338,25-73-127-DR-PD1-RO-,CD8,0.0,0.814524
17873,P3:1782,PD1-XR3+,CD4/Memory,0.0,0.120001
17874,P2:21214,25-38+DR+RO-,DPT,-0.0,0.0318543
17875,P2:10085,25-39+127+DR+PD1-,CD8,-0.0,0.671658
17876,P2:4255,38-127+,CD4,-0.0,0.486431
17877,P5 gd:1439,8+27+28-RA+R7+,Vg9+/Vd2Hi,-0.0,0.768905
17878,P2:4134,25-38+39+73+127-,CD4,0.0,0.79681
17879,P3:8681,161-PD1+R4+R6+XR3+XR5+,CD8/Naive,0.0,0.512114
17880,P2:9929,25-38-39-73+127-DR+PD1-,CD8,0.0,0.200571
17881,P3:7099,161-PD1-R10+XR5-,CD8/Naive,-0.0,0.632834
17882,P2:3156,25-38-39+73+127-DR-PD1-,CD4,0.0,0.439024
17883,P1:10005,31+127+244-,CD8,0.0,0.270725
17884,P2:22844,25+38+39-DR-,DPT,-0.0,0.0255268
17885,P1:4834,31+95-244+,CD4,0.0,0.605871
17886,P3:3343,PD1+R4+R6-XR3-,CD4/Naive,-0.0,0.900262
17887,P1:6286,27+28+31+57-RA+,CD4,0.0,0.509206
17888,P3:4043,161-R6-XR3-XR5+,CD4/Naive,0.0,0.327295
17889,MFI:43,CD141 FITC,Lin-DR+/14-/11c+ (nodim)/XPres/CD274,0.0,0.763464
17890,P1:22687,95+127+244-,DPT,-0.0,0.0743605
17891,P3:5931,161+R6+XR3+,CD8/Memory,0.0,0.114551
17892,P1:22341,27-28-31+57-244-,DPT,-0.0,0.978496
17893,P7 Mono:459,11c+64+123+141-274-DR-,Monocytes,-0.0,0.250231
17894,P3:6243,PD1+R4-R6-R10-XR5+,CD8/Memory,0.0,0.541142
17895,P2:11990,25+127+PD1-RO+,CD8,-0.0,0.220126
17896,P5 gd:19,8+27-28-RA+R5-R7-,Vg9+/Vd2Hi,0.0,0.912501
17897,P4:3331,CD2-314+334-337+158a+158b-,16+56,0.0,0.802605
17898,P2:2126,39-127+RO-,CD4,0.0,0.995658
17899,P6 earlyB:18,24-27+5-38+D-,IgA-IgG-,-0.0,0.172502
17900,P1:24827,31+95+127+244-RA+,DPT,-0.0,0.0168853
17901,P1:3847,28+31-95-127-,CD4,-0.0,0.742955
17902,P4:5398,CD2+337+158a+158b-,56+16-,0.0,0.264313
17903,P4:4975,314+334+337-158a-158b+R7-,56+16-,-0.0,0.273019
17904,P7 Mono:1536,11c+16-32+141+DR-,Monocytes,-0.0,0.200841
17905,P2:23297,25+38-39-73-DR+,DPT,-0.0,0.370855
17906,P2:11847,25-38+39-73+127-PD1-RO+,CD8,-0.0,0.421297
17907,P3:3613,PD1+R4+,CD4/Naive,-0.0,0.943952
17908,P6:240,20+24+27+,B cells/CD10-/CD95+/IgA,-0.0,0.330445
17909,P2:12795,25+73+127-DR+RO+,CD8,-0.0,0.576039
17910,P3:5363,R6+R10-XR3-,CD8/Memory,-0.0,0.46529
17911,P3:8622,PD1-R4+R6-XR3+XR5+,CD8/Naive,-0.0,0.542959
17912,P1:24760,28-31-57+127+244-RA+,DPT,-0.0,0.668526
17913,P1:12557,28-31+57+95-RA+,CD8,-0.0,0.116679
17914,P2:24766,38+39-73+DR+PD1-RO+,DPT,-0.0,0.356682
17915,P1:161,27-28+31+57-95-127+244-RA+,DPT,0.0,0.446762
17916,P7 Mono:3323,11c+16+32-123-,Monocytes,0.0,0.532594
17917,P7 Mono:802,11c+16+32+64-141+274-DR-,Monocytes,-0.0,0.0882787
17918,P4:6184,334+337+158a-R7+,56+16-,0.0,0.4731
17919,P7:202,32+64-,mDC/1c-/16+,0.0,0.309178
17920,P3:1485,PD1-R6+R10-,CD4/Memory,-0.0,0.99454
17921,P1:10334,27-28-31-57+95+127-,CD8,0.0,0.397253
17922,P7 Mono:4865,16+64+274-DR+,Monocytes,-0.0,0.00722725
17923,P7:97,274+,11c+ (nodim)/1c-/16-,-0.0,0.402921
17924,P7 Mono:6275,11c+32-64-123+274+DR+,Monocytes,-0.0,0.983686
17925,P2:3915,25-39+73-DR-,CD4,-0.0,0.384095
17926,P1:5377,27+127-244-RA+,CD4,-0.0,0.024356
17927,P3:358,161+PD1-R4-R6-R10-XR3-XR5+,CD8/Memory,0.0,0.244189
17928,P5 CD8:206,27+28+RA-R7+,CD8,-0.0,0.304173
17929,P4:159,2-314-334-337-158a-158b+R7+,16+56,-0.0,0.39132
17930,P1:23876,27+57-95+244+,DPT,-0.0,0.953703
17931,P2:3615,25-38-39+127-DR+PD1-,CD4,0.0,0.102464
17932,P1:12397,27-31+57+127-RA+,CD8,-0.0,0.877803
17933,P1:5604,27+244-RA+,CD4,-0.0,0.64247
17934,P1:3182,27+28+57-127-244-,CD4,-0.0,0.280142
17935,P2:11017,25+38+39-73-127+DR-PD1+,CD8,-0.0,0.626545
17936,P2:11407,25+38-39+73+127-DR+PD1+,CD8,-0.0,0.142143
17937,P1:21785,27-28+31+57+95+244+RA-,DPT,-0.0,0.586243
17938,P1:7510,27-28+95+127-244-RA-,CD8,-0.0,0.416981
17939,P2:6907,39-127-PD1+RO+,CD4,0.0,0.767582
17940,P1:10735,27+31+127+,CD8,0.0,0.488822
17941,P1:4887,27-31+57-244+,CD4,-0.0,0.253144
17942,P3:3927,161-PD1+R10+XR3+,CD4/Naive,0.0,0.808415
17943,P2:12210,25-38+127+DR+PD1-RO+,CD8,-0.0,0.2639
17944,P3:2018,PD1-R4+XR3-XR5+,CD4/Memory,0.0,0.677993
17945,P2:8261,25+39+73-127-RO-,CD8,-0.0,0.190534
17946,P3:4988,161+PD1-R6+XR5-,CD8/Memory,-0.0,0.761509
17947,P2:12774,25+38-39+127-DR+RO+,CD8,0.0,0.649069
17948,P1:976,27+28+31+57+95-127+244+RA+,CD4,0.0,0.959656
17949,P3:1659,R4+R6+R10+,CD4/Memory,0.0,0.366367
17950,P3:7763,161-R4-R6-R10+,CD8/Naive,-0.0,0.546821
17951,P3:3502,R4+R6-R10-,CD4/Naive,0.0,0.221692
17952,P2:4975,38-39-127+PD1+,CD4,0.0,0.537645
17953,P5 CD8:149,27-28+RA+,CD8,-0.0,0.342957
17954,P2:4578,25-38-127-DR-PD1+,CD4,0.0,0.817603
17955,P4:4136,CD2-314+334-337-R7+,16+56,-0.0,0.132712
17956,P1:7695,28-31+57+244-RA-,CD8,-0.0,0.730016
17957,P7 Mono:4517,16-32+64-123-141-274-DR+,Monocytes,-0.0,0.500388
17958,P1:5091,27-28-57+95-127+244+,CD4,0.0,0.0544253
